Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Leppävaara4,Tikkurila3,Luukki,Lohja,Kerava(M5),Lentoasema(M4),Mechelininkatu(M1),Olari(M2),Rekola(M3)
01/01/2017 01:00,84,72,108,79,111,164,39,51,74,65,35,81,118
01/01/2017 02:00,86,74,77,62,82,83,52,32,64,60,32,54,71
01/01/2017 03:00,64,50,53,42,57,51,47,29,51,50,35,46,53
01/01/2017 04:00,59,40,48,43,50,53,32,31,39,44,56,42,38
01/01/2017 05:00,53,35,43,39,56,52,25,31,30,41,49,45,44
01/01/2017 06:00,42,31,40,36,51,47,24,30,26,43,43,36,33
01/01/2017 07:00,41,30,41,38,46,50,18,28,19,46,51,38,44
01/01/2017 08:00,33,33,40,37,38,46,25,26,30,44,30,35,43
01/01/2017 09:00,20,30,35,33,44,35,25,22,32,34,19,38,26
01/01/2017 10:00,36,39,36,31,37,44,26,21,30,42,31,37,37
01/01/2017 11:00,36,45,38,31,48,50,22,29,32,40,37,38,38
01/01/2017 12:00,36,34,41,31,38,52,16,29,35,43,43,33,47
01/01/2017 13:00,28,40,33,33,40,45,17,25,24,45,50,33,51
01/01/2017 14:00,40,41,35,31,45,40,25,23,27,40,58,31,49
01/01/2017 15:00,44,59,36,37,61,48,23,29,32,41,62,37,45
01/01/2017 16:00,51,66,31,63,60,62,46,39,39,62,62,48,42
01/01/2017 17:00,55,58,30,41,55,51,22,38,35,55,74,52,48
01/01/2017 18:00,47,56,33,49,64,54,25,37,37,60,62,45,51
01/01/2017 19:00,52,30,40,45,32,53,37,24,35,50,55,36,53
01/01/2017 20:00,43,31,33,34,23,36,45,12,21,54,40,27,51
01/01/2017 21:00,34,43,45,50,16,23,52,9,13,32,28,13,33
01/01/2017 22:00,44,52,52,55,13,8,54,9,6,16,16,10,16
01/01/2017 23:00,36,56,56,59,10,7,52,9,4,39,20,10,8
01/02/2017 00:00,38,49,52,55,12,13,51,9,2,46,17,10,16
01/02/2017 01:00,40,49,50,51,16,14,50,11,6,40,15,11,19
01/02/2017 02:00,51,47,48,49,46,10,51,10,9,28,11,11,5
01/02/2017 03:00,31,47,48,51,14,13,51,10,8,16,9,10,11
01/02/2017 04:00,18,50,50,51,16,15,52,10,7,26,8,11,10
01/02/2017 05:00,29,51,51,52,21,6,53,10,7,18,10,10,10
01/02/2017 06:00,18,49,51,53,11,6,53,10,5,37,12,10,11
01/02/2017 07:00,61,52,46,51,14,9,52,12,36,28,33,10,19
01/02/2017 08:00,58,60,38,46,24,19,50,13,25,42,46,15,14
01/02/2017 09:00,65,68,32,36,29,29,49,11,29,41,64,20,17
01/02/2017 10:00,73,75,29,34,36,35,45,16,34,38,71,31,20
01/02/2017 11:00,77,73,37,41,34,29,45,18,35,68,0,34,17
01/02/2017 12:00,77,83,50,39,42,30,45,18,48,63,0,24,23
01/02/2017 13:00,78,91,53,35,38,31,45,15,45,52,65,20,25
01/02/2017 14:00,71,55,45,36,42,32,44,14,46,48,64,23,36
01/02/2017 15:00,74,61,31,28,44,42,41,14,42,29,65,29,32
01/02/2017 16:00,77,65,39,32,52,45,39,23,25,52,64,31,35
01/02/2017 17:00,76,67,38,31,59,39,36,20,21,58,63,42,32
01/02/2017 18:00,58,42,26,39,51,24,34,22,18,31,53,55,32
01/02/2017 19:00,46,33,35,40,34,23,38,21,14,39,38,39,20
01/02/2017 20:00,37,31,32,47,29,27,39,22,17,44,34,29,21
01/02/2017 21:00,40,27,31,37,26,25,38,22,25,33,32,27,28
01/02/2017 22:00,50,27,31,39,28,26,39,20,31,32,28,30,35
01/02/2017 23:00,41,30,34,40,26,29,39,19,26,34,23,28,32
02/02/2017 00:00,29,32,37,41,25,25,39,18,35,36,20,28,14
01/03/2017 01:00,39,36,37,41,37,21,40,18,23,30,14,29,11
01/03/2017 02:00,53,37,38,42,56,21,40,17,36,22,12,24,26
01/03/2017 03:00,46,39,40,43,18,13,40,16,36,17,13,23,17
01/03/2017 04:00,26,38,37,42,21,21,40,18,23,25,12,23,14
01/03/2017 05:00,25,36,36,42,24,17,41,16,56,25,14,24,20
01/03/2017 06:00,42,29,33,40,19,20,39,16,49,40,23,27,24
01/03/2017 07:00,52,41,24,38,32,23,39,17,30,34,42,28,25
01/03/2017 08:00,64,60,37,32,50,30,37,24,51,48,56,46,20
01/03/2017 09:00,70,59,50,29,58,31,34,20,41,46,66,57,20
01/03/2017 10:00,75,57,51,38,60,28,34,18,47,44,67,59,38
01/03/2017 11:00,75,56,37,27,57,31,34,19,34,49,63,58,29
01/03/2017 12:00,77,55,35,28,55,31,33,22,32,41,68,56,21
01/03/2017 13:00,76,65,57,33,55,32,33,26,35,47,67,56,33
01/03/2017 14:00,78,64,55,39,57,41,33,19,42,49,75,54,34
01/03/2017 15:00,78,71,63,38,56,51,36,26,51,52,76,51,45
01/03/2017 16:00,77,68,66,34,64,53,30,52,48,65,69,57,48
01/03/2017 17:00,76,74,69,37,64,52,33,58,58,71,77,56,54
01/03/2017 18:00,75,75,66,56,64,52,38,61,53,64,82,55,55
01/03/2017 19:00,75,75,67,48,68,56,27,53,51,63,77,58,57
01/03/2017 20:00,70,74,68,32,65,57,29,53,37,58,73,64,55
01/03/2017 21:00,74,71,63,39,55,51,28,49,22,58,76,58,48
01/03/2017 22:00,75,76,64,55,67,30,27,47,51,21,72,68,38
01/03/2017 23:00,74,76,70,44,63,52,28,43,86,62,74,60,11
03/02/2017 00:00,68,65,52,45,67,26,24,32,72,23,69,60,4
01/04/2017 01:00,23,42,42,46,25,10,36,25,59,35,9,52,21
01/04/2017 02:00,38,43,44,39,16,28,40,26,62,35,7,18,25
01/04/2017 03:00,37,46,45,47,21,17,47,17,52,20,7,23,15
01/04/2017 04:00,65,45,48,52,42,23,50,21,35,31,6,25,20
01/04/2017 05:00,57,50,51,46,42,24,46,14,38,28,5,17,10
01/04/2017 06:00,60,41,40,42,51,30,43,15,30,30,31,22,21
01/04/2017 07:00,67,40,35,46,57,23,46,17,42,26,45,22,23
01/04/2017 08:00,68,42,43,51,57,30,51,13,52,47,55,21,20
01/04/2017 09:00,47,41,43,51,58,19,52,11,42,38,55,25,20
01/04/2017 10:00,70,42,45,52,59,35,52,13,53,36,54,25,17
01/04/2017 11:00,64,43,45,53,58,27,54,13,64,30,39,23,17
01/04/2017 12:00,65,41,47,53,60,29,54,13,58,27,28,19,19
01/04/2017 13:00,55,41,44,52,55,24,54,11,40,43,30,20,18
