Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Leppävaara4,Tikkurila3,Luukki,Lohja,Kerava(M5),Lentoasema(M4),Mechelininkatu(M1),Olari(M2),Rekola(M3)
2017-01-01 00:00:00,84,72.0,108,79.0,111.0,164,39.0,51,74.0,65,35.0,81.0,118.0
2017-01-01 01:00:00,86,74.0,77,62.0,82.0,83,52.0,32,64.0,60,32.0,54.0,71.0
2017-01-01 02:00:00,64,50.0,53,42.0,57.0,51,47.0,29,51.0,50,35.0,46.0,53.0
2017-01-01 03:00:00,59,40.0,48,43.0,50.0,53,32.0,31,39.0,44,56.0,42.0,38.0
2017-01-01 04:00:00,53,35.0,43,39.0,56.0,52,25.0,31,30.0,41,49.0,45.0,44.0
2017-01-01 05:00:00,42,31.0,40,36.0,51.0,47,24.0,30,26.0,43,43.0,36.0,33.0
2017-01-01 06:00:00,41,30.0,41,38.0,46.0,50,18.0,28,19.0,46,51.0,38.0,44.0
2017-01-01 07:00:00,33,33.0,40,37.0,38.0,46,25.0,26,30.0,44,30.0,35.0,43.0
2017-01-01 08:00:00,20,30.0,35,33.0,44.0,35,25.0,22,32.0,34,19.0,38.0,26.0
2017-01-01 09:00:00,36,39.0,36,31.0,37.0,44,26.0,21,30.0,42,31.0,37.0,37.0
2017-01-01 10:00:00,36,45.0,38,31.0,48.0,50,22.0,29,32.0,40,37.0,38.0,38.0
2017-01-01 11:00:00,36,34.0,41,31.0,38.0,52,16.0,29,35.0,43,43.0,33.0,47.0
2017-01-01 12:00:00,28,40.0,33,33.0,40.0,45,17.0,25,24.0,45,50.0,33.0,51.0
2017-01-01 13:00:00,40,41.0,35,31.0,45.0,40,25.0,23,27.0,40,58.0,31.0,49.0
2017-01-01 14:00:00,44,59.0,36,37.0,61.0,48,23.0,29,32.0,41,62.0,37.0,45.0
2017-01-01 15:00:00,51,66.0,31,63.0,60.0,62,46.0,39,39.0,62,62.0,48.0,42.0
2017-01-01 16:00:00,55,58.0,30,41.0,55.0,51,22.0,38,35.0,55,74.0,52.0,48.0
2017-01-01 17:00:00,47,56.0,33,49.0,64.0,54,25.0,37,37.0,60,62.0,45.0,51.0
2017-01-01 18:00:00,52,30.0,40,45.0,32.0,53,37.0,24,35.0,50,55.0,36.0,53.0
2017-01-01 19:00:00,43,31.0,33,34.0,23.0,36,45.0,12,21.0,54,40.0,27.0,51.0
2017-01-01 20:00:00,34,43.0,45,50.0,16.0,23,52.0,9,13.0,32,28.0,13.0,33.0
2017-01-01 21:00:00,44,52.0,52,55.0,13.0,8,54.0,9,6.0,16,16.0,10.0,16.0
2017-01-01 22:00:00,36,56.0,56,59.0,10.0,7,52.0,9,4.0,39,20.0,10.0,8.0
2017-01-01 23:00:00,38,49.0,52,55.0,12.0,13,51.0,9,2.0,46,17.0,10.0,16.0
2017-01-02 00:00:00,40,49.0,50,51.0,16.0,14,50.0,11,6.0,40,15.0,11.0,19.0
2017-01-02 01:00:00,51,47.0,48,49.0,46.0,10,51.0,10,9.0,28,11.0,11.0,5.0
2017-01-02 02:00:00,31,47.0,48,51.0,14.0,13,51.0,10,8.0,16,9.0,10.0,11.0
